text,output
y[0]:,50
y[1]:,-14
y[2]:,-59
y[3]:,9
y[4]:,4
y[5]:,66
y[6]:,31
y[7]:,-28
y[8]:,6
y[9]:,66
y[10]:,-63
y[11]:,34
y[12]:,21
y[13]:,30
y[14]:,67
y[15]:,-20
y[16]:,-26
y[17]:,71
y[18]:,-28
y[19]:,-15
y[20]:,79
y[21]:,-10
y[22]:,-29
y[23]:,52
y[24]:,-46
y[25]:,26
y[26]:,-38
y[27]:,30
y[28]:,32
y[29]:,-32
y[30]:,73
y[31]:,-53
y[32]:,-11
y[33]:,66
y[34]:,9
y[35]:,2
y[36]:,-67
y[37]:,16
y[38]:,56
y[39]:,51
y[40]:,31
y[41]:,30
y[42]:,33
y[43]:,78
y[44]:,-31
y[45]:,-27
y[46]:,12
y[47]:,-10
y[48]:,-35
y[49]:,-52
y[50]:,-52
y[51]:,-4
y[52]:,-58
y[53]:,54
y[54]:,-20
y[55]:,-32
y[56]:,36
y[57]:,-67
y[58]:,37
y[59]:,-10
y[60]:,-36
y[61]:,-40
y[62]:,-37
y[63]:,-44
y[64]:,17
y[65]:,-78
y[66]:,-1
y[67]:,-37
y[68]:,67
y[69]:,11
y[70]:,-4
y[71]:,45
y[72]:,78
y[73]:,-24
y[74]:,-7
y[75]:,-22
y[76]:,-8
y[77]:,-40
y[78]:,-33
y[79]:,-77
y[80]:,-3
y[81]:,42
y[82]:,-13
y[83]:,7
y[84]:,24
y[85]:,-37
y[86]:,-73
y[87]:,28
y[88]:,-2
y[89]:,-32
y[90]:,-65
y[91]:,40
y[92]:,-22
y[93]:,-63
y[94]:,4
y[95]:,-11
y[96]:,12
y[97]:,-13
y[98]:,117
y[99]:,40
y[100]:,39
y[101]:,-45
y[102]:,-20
y[103]:,-46
y[104]:,-37
y[105]:,-30
y[106]:,-45
y[107]:,43
y[108]:,45
y[109]:,-2
y[110]:,-73
y[111]:,-12
y[112]:,-50
y[113]:,-49
y[114]:,36
y[115]:,-6
y[116]:,-7
y[117]:,4
y[118]:,23
y[119]:,-119
y[120]:,-42
y[121]:,-69
y[122]:,2
y[123]:,4
y[124]:,-19
y[125]:,4
y[126]:,44
y[127]:,12
